Edad;Genero;P1_Destino;P2_Estres;P3_Frecuencia;P4_NivelEstres;P5_FinSemana
13;Hombre;C) Ahorrando o invirtiendolo.;B) Hacer ejercicio y meditar.;B) 1 o 2 veces.;5;D) Visitando un lugar nuevo o una actividad nueva.
29;Hombre;B) Gimnasio, comida y salud.;C) Descansar en casa, planeando mi tiempo y gastos.;D) Solo cuando hay un evento importante.;7;C) Tranquilo, en casa y preparando la semana.
13;Mujer;C) Ahorrando o invirtiendolo.;D) Buscar nuevas actividades o viajando.;A) 4 o mas veces.;3;A) Improvisado, con amigos y musica.
13;Mujer;C) Ahorrando o invirtiendolo.;B) Hacer ejercicio y meditar.;D) Solo cuando hay un evento importante.;3;C) Tranquilo, en casa y preparando la semana.
13;Mujer;D) Viajes, conciertos, cursos.;C) Descansar en casa, planeando mi tiempo y gastos.;B) 1 o 2 veces.;6;C) Tranquilo, en casa y preparando la semana.
26;Mujer;B) Gimnasio, comida y salud.;A) Salir a desconectarme, beber y socializar.;D) Solo cuando hay un evento importante.;4;A) Improvisado, con amigos y musica.
13;Mujer;D) Viajes, conciertos, cursos.;B) Hacer ejercicio y meditar.;B) 1 o 2 veces.;10;A) Improvisado, con amigos y musica.
40;Mujer;B) Gimnasio, comida y salud.;A) Salir a desconectarme, beber y socializar.;C) Casi nunca.;4;A) Improvisado, con amigos y musica.
40;Mujer;C) Ahorrando o invirtiendolo.;D) Buscar nuevas actividades o viajando.;A) 4 o mas veces.;4;B) Activo, haciendo deporte y comiendo.
36;Hombre;A) Salir a beber con amigos y fiestas.;C) Descansar en casa, planeando mi tiempo y gastos.;D) Solo cuando hay un evento importante.;5;C) Tranquilo, en casa y preparando la semana.
13;Mujer;B) Gimnasio, comida y salud.;C) Descansar en casa, planeando mi tiempo y gastos.;C) Casi nunca.;7;C) Tranquilo, en casa y preparando la semana.
13;Mujer;C) Ahorrando o invirtiendolo.;C) Descansar en casa, planeando mi tiempo y gastos.;B) 1 o 2 veces.;10;C) Tranquilo, en casa y preparando la semana.
36;Mujer;A) Salir a beber con amigos y fiestas.;D) Buscar nuevas actividades o viajando.;D) Solo cuando hay un evento importante.;6;C) Tranquilo, en casa y preparando la semana.
32;Mujer;C) Ahorrando o invirtiendolo.;D) Buscar nuevas actividades o viajando.;B) 1 o 2 veces.;4;C) Tranquilo, en casa y preparando la semana.
27;Hombre;D) Viajes, conciertos, cursos.;A) Salir a desconectarme, beber y socializar.;C) Casi nunca.;7;A) Improvisado, con amigos y musica.
25;Mujer;D) Viajes, conciertos, cursos.;C) Descansar en casa, planeando mi tiempo y gastos.;D) Solo cuando hay un evento importante.;5;C) Tranquilo, en casa y preparando la semana.
19;Mujer;C) Ahorrando o invirtiendolo.;D) Buscar nuevas actividades o viajando.;C) Casi nunca.;8;C) Tranquilo, en casa y preparando la semana.
